,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,50.0,87,75,8.05,CL,1619113847
1,Busselton,-33.65,115.3333,57.99,79,100,1.01,AU,1619113847
2,Bluff,-46.6,168.3333,48.0,96,94,3.0,NZ,1619113847
3,Aksarka,66.5606,67.7975,36.9,90,100,16.22,RU,1619113847
4,Castro,-24.7911,-50.0119,63.7,71,85,1.79,BR,1619113848
5,Zelenokumsk,44.4069,43.8806,51.8,87,90,4.47,RU,1619113848
6,Tuktoyaktuk,69.4541,-133.0374,6.8,78,20,9.22,CA,1619113848
7,Ushuaia,-54.8,-68.3,46.4,87,90,3.44,AR,1619113697
8,Albany,42.6001,-73.9662,43.0,44,99,1.01,US,1619113849
9,Broken Hill,-31.95,141.4333,50.0,66,0,8.05,AU,1619113849
10,Kavaratti,10.5669,72.642,84.16,68,98,9.08,IN,1619113849
11,Locri,38.2414,16.2623,64.4,63,75,9.22,IT,1619113849
12,Kaitangata,-46.2817,169.8464,49.32,92,100,2.51,NZ,1619113850
13,Alice Springs,-23.7,133.8833,48.2,61,0,2.3,AU,1619113805
14,Sawākin,19.1059,37.3321,81.95,73,1,6.13,SD,1619113850
15,Nikolskoye,59.7035,30.7861,50.0,57,75,2.24,RU,1619113850
16,Jamestown,42.097,-79.2353,36.0,55,90,18.41,US,1619113851
17,Vaini,-21.2,-175.2,75.2,94,20,2.3,TO,1619113851
18,Faanui,-16.4833,-151.75,81.05,75,13,17.87,PF,1619113851
19,Ulaanbaatar,47.9077,106.8832,33.8,47,75,8.95,MN,1619113637
20,Port Alfred,-33.5906,26.891,68.86,79,27,20.13,ZA,1619113852
21,Puerto Ayora,-0.7393,-90.3518,84.2,70,20,17.27,EC,1619113578
22,Bengkulu,-3.8004,102.2655,75.29,87,100,3.85,ID,1619113852
23,Rikitea,-23.1203,-134.9692,77.79,75,62,19.22,PF,1619113852
24,Ribeira Grande,38.5167,-28.7,60.8,72,40,33.38,PT,1619113852
25,Shimoda,34.6667,138.95,54.0,79,42,1.01,JP,1619113853
26,Kjøllefjord,70.9457,27.3465,37.4,60,75,12.66,NO,1619113853
27,Valparaíso,-33.0393,-71.6273,60.01,100,75,3.44,CL,1619113853
28,Nanortalik,60.1432,-45.2371,39.15,69,97,3.11,GL,1619113854
29,Bealanana,-14.55,48.7333,64.81,98,100,3.47,MG,1619113854
30,Klaksvík,62.2266,-6.589,44.6,76,75,8.05,FO,1619113854
31,Hobart,-42.8794,147.3294,51.8,54,75,12.66,AU,1619113832
32,Chui,-33.6971,-53.4616,73.65,54,13,13.44,UY,1619113854
33,Ati,13.2154,18.3353,94.06,15,37,4.36,TD,1619113855
34,Fochville,-26.4886,27.4939,63.0,63,39,0.83,ZA,1619113855
35,Kānt,27.8,79.8,79.5,32,0,7.52,IN,1619113855
36,Seddon,-37.8068,144.8916,55.99,87,90,9.22,AU,1619113856
37,Serebryansk,49.6925,83.2892,30.2,64,20,13.42,KZ,1619113856
38,Schleswig,54.5167,9.55,46.99,61,40,23.02,DE,1619113856
39,Hilo,19.7297,-155.09,70.0,78,90,10.36,US,1619113855
40,Cape Town,-33.9258,18.4232,66.99,82,0,8.05,ZA,1619113643
41,Lagoa,39.05,-27.9833,58.12,78,100,41.0,PT,1619113857
42,Ploemeur,47.7333,-3.4333,66.2,42,0,14.97,FR,1619113857
43,Broadford,-37.2,145.0667,51.01,89,46,1.97,AU,1619113857
44,Adrar,20.5022,-10.0711,94.03,6,0,9.13,MR,1619113857
45,Maragogi,-9.0122,-35.2225,82.71,73,48,9.93,BR,1619113858
46,Udachny,66.4167,112.4,26.02,92,100,23.6,RU,1619113858
47,Wanaka,-44.7,169.15,50.0,98,100,3.85,NZ,1619113858
48,Akhtubinsk,48.2795,46.1722,57.74,55,81,6.35,RU,1619113859
49,Sambava,-14.2667,50.1667,76.68,88,91,11.39,MG,1619113859
50,Requena,39.4883,-1.1004,59.0,84,97,9.51,ES,1619113859
51,Tiksi,71.6872,128.8694,6.24,93,100,6.17,RU,1619113859
52,Airai,-8.9266,125.4092,58.39,90,35,1.16,TL,1619113860
53,Fuyang,32.9,115.8167,59.94,81,100,2.8,CN,1619113704
54,Viedma,-40.8135,-62.9967,65.35,51,99,9.06,AR,1619113860
55,Avarua,-21.2078,-159.775,75.2,94,90,13.8,CK,1619113860
56,Dunedin,-45.8742,170.5036,53.01,92,100,1.99,NZ,1619113786
57,Carlisle,40.2015,-77.1889,46.0,33,95,8.99,US,1619113843
58,Alofi,-19.0595,-169.9187,75.2,100,99,8.05,NU,1619113861
59,Saint Paul Harbor,57.79,-152.4072,42.8,87,90,13.8,US,1619113861
60,Vanimo,-2.6741,141.3028,78.06,85,98,5.91,PG,1619113861
61,Mandapam,9.2833,79.1167,84.7,76,55,17.85,IN,1619113862
62,Quelimane,-17.8786,36.8883,75.2,78,20,4.61,MZ,1619113862
